Source_File,Title,Authors,Research_Theme,Context,Intervention,Outcome
stump1997.md,Employing Information Technology in Purchasing,"Rodney L. Stump, Ven Sriram",Theme 3: Interorganizational relationships,In buyer-supplier networks,increasing the percentage of IT-mediated transactions,increases the closeness of buyer-supplier relationships
stump1997.md,Employing Information Technology in Purchasing,"Rodney L. Stump, Ven Sriram",Theme 2: Network formation and relationship initiation,When buyers invest in IT,involving suppliers in IT-enabled transactions,leads to supplier base rationalization
walton1997.md,The Relationship Between EDI and Supplier Reliability,"Steve V. Walton, Ann S. Marucheck",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships using EDI for purchase order transmission,increasing integration of EDI with internal computer applications,leads to improved quality and correct item/mix delivery performance
walton1997.md,The Relationship Between EDI and Supplier Reliability,"Steve V. Walton, Ann S. Marucheck",Theme 3: Interorganizational relationships,In the context of high information uncertainty in supply chains,emphasizing buyer's sharing of planned production and capacity information,leads to enhanced supplier reliability in quality and item/mix accuracy
walton1997.md,The Relationship Between EDI and Supplier Reliability,"Steve V. Walton, Ann S. Marucheck",Theme 6: Operational practices of managing external resources,When implementing EDI systems within procurement operations,investing more in EDI software and hardware acquisition,"leads to better supplier performance, particularly in product quality"
walton1997.md,The Relationship Between EDI and Supplier Reliability,"Steve V. Walton, Ann S. Marucheck",Theme 2: Network formation and relationship initiation,During the expansion of EDI usage across multiple suppliers,involving a greater number of suppliers in EDI over time,leads to improved supplier reliability as EDI becomes institutionalized
leonidou2008.md,Exercised power as a driver of trust and commitment in cross-border industrial buyer–seller relationships,"Leonidas C. Leonidou, Michael A. Talias, Constantinos N. Leonidou",Theme 3: Interorganizational relationships,In cross-border industrial buyer–seller relationships,exercising coercive power,leads to lower trust and weaker commitment
leonidou2008.md,Exercised power as a driver of trust and commitment in cross-border industrial buyer–seller relationships,"Leonidas C. Leonidou, Michael A. Talias, Constantinos N. Leonidou",Theme 3: Interorganizational relationships,In cross-border industrial buyer–seller relationships,exercising non-coercive power,enhances trust and strengthens commitment
leonidou2008.md,Exercised power as a driver of trust and commitment in cross-border industrial buyer–seller relationships,"Leonidas C. Leonidou, Michael A. Talias, Constantinos N. Leonidou",Theme 3: Interorganizational relationships,In the presence of relationship conflict,maintaining low conflict levels,leads to higher trust
leonidou2008.md,Exercised power as a driver of trust and commitment in cross-border industrial buyer–seller relationships,"Leonidas C. Leonidou, Michael A. Talias, Constantinos N. Leonidou",Theme 3: Interorganizational relationships,When past exchange outcomes are favorable,achieving high satisfaction,fosters trust
leonidou2008.md,Exercised power as a driver of trust and commitment in cross-border industrial buyer–seller relationships,"Leonidas C. Leonidou, Michael A. Talias, Constantinos N. Leonidou",Theme 3: Interorganizational relationships,In long-term interfirm relationships,building trust,leads to stronger commitment
kale2002.md,"ALLIANCE CAPABILITY, STOCK MARKET RESPONSE, AND LONG-TERM ALLIANCE SUCCESS: THE ROLE OF THE ALLIANCE FUNCTION","Prashant Kale, Jeffrey H. Dyer, Harbir Singh",Theme 4: Strategic aspects of exploiting external resources,In the context of managing interfirm alliances,investing in a dedicated alliance function,leads to enhanced performance as measured by higher abnormal stock market returns and greater long-term alliance success
kale2002.md,"ALLIANCE CAPABILITY, STOCK MARKET RESPONSE, AND LONG-TERM ALLIANCE SUCCESS: THE ROLE OF THE ALLIANCE FUNCTION","Prashant Kale, Jeffrey H. Dyer, Harbir Singh",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships and interorganizational collaborations,codifying alliance management knowledge and practices,reduces failures and increases the success rate of alliances
kale2002.md,"ALLIANCE CAPABILITY, STOCK MARKET RESPONSE, AND LONG-TERM ALLIANCE SUCCESS: THE ROLE OF THE ALLIANCE FUNCTION","Prashant Kale, Jeffrey H. Dyer, Harbir Singh",Theme 3: Interorganizational relationships,In the context of repeated alliance formation,involving a centralized alliance function in partner selection and governance,leads to more harmonious relationships and higher achievement of strategic objectives
rogers2006.md,A supplier development program: Rational process or institutional image construction?,"Keith W. Rogers, Lyn Purdy, Frank Safayeni, P. Robert Duimering",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships under coercive institutional pressure,implementing supplier development workshops,leads to biased positive reporting of performance improvements
rogers2006.md,A supplier development program: Rational process or institutional image construction?,"Keith W. Rogers, Lyn Purdy, Frank Safayeni, P. Robert Duimering",Theme 3: Interorganizational relationships,In the context of asymmetric power between a dominant customer and its suppliers,involving suppliers in mandated development programs,results in the attribution of pre-existing solutions to workshop outcomes
rogers2006.md,A supplier development program: Rational process or institutional image construction?,"Keith W. Rogers, Lyn Purdy, Frank Safayeni, P. Robert Duimering",Theme 1: Decisions on governance mode and mechanism,When supplier development is institutionally mandated rather than voluntarily adopted,choosing hierarchical governance with formal evaluation metrics,leads to inflated post-workshop performance measurements compared to initial predictions
sanders2007.md,An empirical study of the impact of e-business technologies on organizational collaboration and performance,Nada R. Sanders,Theme 6: Operational practices of managing external resources,In buyer-supplier relationships in manufacturing firms,using e-business technologies,leads to improved organizational performance
sanders2007.md,An empirical study of the impact of e-business technologies on organizational collaboration and performance,Nada R. Sanders,Theme 3: Interorganizational relationships,In the context of inter-organizational collaboration with suppliers,involving suppliers in collaborative planning and real-time information sharing,improves intra-organizational collaboration
sanders2007.md,An empirical study of the impact of e-business technologies on organizational collaboration and performance,Nada R. Sanders,Theme 6: Operational practices of managing external resources,Within large manufacturing organizations,investing in e-business technologies,increases intra- and inter-organizational collaboration
sanders2007.md,An empirical study of the impact of e-business technologies on organizational collaboration and performance,Nada R. Sanders,Theme 3: Interorganizational relationships,When firms engage in inter-organizational collaboration,emphasizing operational linkages with suppliers,leads to enhanced intra-organizational collaboration
sanders2007.md,An empirical study of the impact of e-business technologies on organizational collaboration and performance,Nada R. Sanders,Theme 6: Operational practices of managing external resources,In the presence of strong intra-organizational collaboration,building integrated databases and cross-functional planning processes,leads to improved organizational performance
tiwana2007.md,DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TECHNOLOGY OUTSOURCING ALLIANCES,"Amrit Tiwana, Mark Keil",Theme 6: Operational practices of managing external resources,In technology outsourcing alliances,maintaining peripheral knowledge,leads to enhanced alliance performance
tiwana2007.md,DOES PERIPHERAL KNOWLEDGE COMPLEMENT CONTROL? AN EMPIRICAL TEST IN TECHNOLOGY OUTSOURCING ALLIANCES,"Amrit Tiwana, Mark Keil",Theme 6: Operational practices of managing external resources,In technology outsourcing alliances with process-based control,maintaining peripheral knowledge,decreases alliance performance
tiwana2008.md,DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AMBIDEXTERITY,Amrit Tiwana,Theme 3: Interorganizational relationships,In innovation-seeking project alliances,increasing strong ties,leads to enhanced alliance ambidexterity
tiwana2008.md,DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AMBIDEXTERITY,Amrit Tiwana,Theme 5: Open innovation and interorganizational learning,In the context of high bridging ties in a project alliance,involving strong ties,leads to enhanced knowledge integration and alliance ambidexterity
tiwana2008.md,DO BRIDGING TIES COMPLEMENT STRONG TIES? AN EMPIRICAL EXAMINATION OF ALLIANCE AMBIDEXTERITY,Amrit Tiwana,Theme 6: Operational practices of managing external resources,In project-level alliance tie portfolios,combining bridging ties and strong ties,leads to improved alliance ambidexterity
fawcett2012.md,PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN COLLABORATION DYNAMICS,"Stanley E. Fawcett, Amydee M. Fawcett, Bradlee J. Watson, Gregory M. Magnan",Theme 6: Operational practices of managing external resources,In the context of intense price pressure and customer demands,initiating a collaborative capability,leads to enhanced operational and financial performance
fawcett2012.md,PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN COLLABORATION DYNAMICS,"Stanley E. Fawcett, Amydee M. Fawcett, Bradlee J. Watson, Gregory M. Magnan",Theme 3: Interorganizational relationships,In buyer-supplier and interfunctional relationships,mitigating structural and cultural resistors,decreases resistance to change and supports collaboration development
fawcett2012.md,PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN COLLABORATION DYNAMICS,"Stanley E. Fawcett, Amydee M. Fawcett, Bradlee J. Watson, Gregory M. Magnan",Theme 6: Operational practices of managing external resources,In firms pursuing supply chain collaboration,"investing in collaboration enablers such as aligned goals, information sharing, and teaming structures","leads to improved productivity, lower costs, and higher service levels"
fawcett2012.md,PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN COLLABORATION DYNAMICS,"Stanley E. Fawcett, Amydee M. Fawcett, Bradlee J. Watson, Gregory M. Magnan",Theme 3: Interorganizational relationships,In the presence of entrenched organizational inertia and misaligned incentives,strengthening managerial commitment to collaboration,increases the likelihood of developing a dynamic collaborative capability
fawcett2012.md,PEEKING INSIDE THE BLACK BOX: TOWARD AN UNDERSTANDING OF SUPPLY CHAIN COLLABORATION DYNAMICS,"Stanley E. Fawcett, Amydee M. Fawcett, Bradlee J. Watson, Gregory M. Magnan",Theme 5: Open innovation and interorganizational learning,During the implementation of collaborative initiatives,generating early wins and disseminating success stories,promotes continued investment in collaboration and reinforces commitment
feng2010.md,The effects of customer and supplier involvement on competitive advantage: An empirical study in China,"Taiwen Feng, Linyan Sun, Ying Zhang",Theme 6: Operational practices of managing external resources,In Chinese manufacturing firms,involving customers in product development and continuous improvement,"leads to improved product quality, delivery reliability, process flexibility, and customer service"
feng2010.md,The effects of customer and supplier involvement on competitive advantage: An empirical study in China,"Taiwen Feng, Linyan Sun, Ying Zhang",Theme 6: Operational practices of managing external resources,In Chinese manufacturing firms,involving suppliers in product design and development,decreases costs and supports cost leadership
chang2012.md,Using influence strategies to advance supplier delivery flexibility: The moderating roles of trust and shared vision,"Kuo-Hsiung Chang, Hsu-Feng Huang",Theme 3: Interorganizational relationships,In buyer-supplier relationships,using promise strategy,leads to enhanced supplier delivery flexibility
chang2012.md,Using influence strategies to advance supplier delivery flexibility: The moderating roles of trust and shared vision,"Kuo-Hsiung Chang, Hsu-Feng Huang",Theme 3: Interorganizational relationships,In buyer-supplier relationships with high shared vision,using promise strategy,decreases supplier delivery flexibility
chang2012.md,Using influence strategies to advance supplier delivery flexibility: The moderating roles of trust and shared vision,"Kuo-Hsiung Chang, Hsu-Feng Huang",Theme 3: Interorganizational relationships,In buyer-supplier relationships,using request strategy,decreases supplier delivery flexibility
chang2012.md,Using influence strategies to advance supplier delivery flexibility: The moderating roles of trust and shared vision,"Kuo-Hsiung Chang, Hsu-Feng Huang",Theme 3: Interorganizational relationships,In buyer-supplier relationships with high shared vision,using recommendation strategy,leads to enhanced supplier delivery flexibility
chang2012.md,Using influence strategies to advance supplier delivery flexibility: The moderating roles of trust and shared vision,"Kuo-Hsiung Chang, Hsu-Feng Huang",Theme 3: Interorganizational relationships,In buyer-supplier relationships with high trust,using noncoercive strategies (recommendations and information exchange),decreases supplier delivery flexibility
cousins2006.md,Creating supply chain relational capital: The impact of formal and informal socialization processes,"Paul D. Cousins, Robert B. Handfield, Benn Lawson, Kenneth J. Petersen",Theme 3: Interorganizational relationships,In buyer-supplier relationships,maintaining informal socialization processes,leads to enhanced relational capital
cousins2006.md,Creating supply chain relational capital: The impact of formal and informal socialization processes,"Paul D. Cousins, Robert B. Handfield, Benn Lawson, Kenneth J. Petersen",Theme 3: Interorganizational relationships,In the context of high relational capital between buyers and suppliers,building relational capital,leads to improved supplier relationship outcomes such as better product and process design
carson2006.md,"UNCERTAINTY, OPPORTUNISM, AND GOVERNANCE: THE EFFECTS OF VOLATILITY AND AMBIGUITY ON FORMAL AND RELATIONAL CONTRACTING","Stephen J. Carson, Anoop Madhok, Tao Wu",Theme 1: Decisions on governance mode and mechanism,In the context of high environmental volatility,using relational contracting,leads to reduced opportunism
carson2006.md,"UNCERTAINTY, OPPORTUNISM, AND GOVERNANCE: THE EFFECTS OF VOLATILITY AND AMBIGUITY ON FORMAL AND RELATIONAL CONTRACTING","Stephen J. Carson, Anoop Madhok, Tao Wu",Theme 1: Decisions on governance mode and mechanism,In the context of high ambiguity,using formal contracting,leads to reduced opportunism
carson2006.md,"UNCERTAINTY, OPPORTUNISM, AND GOVERNANCE: THE EFFECTS OF VOLATILITY AND AMBIGUITY ON FORMAL AND RELATIONAL CONTRACTING","Stephen J. Carson, Anoop Madhok, Tao Wu",Theme 3: Interorganizational relationships,In buyer-supplier relationships with high ambiguity,relying on relational contracting,increases supplier opportunism
carson2006.md,"UNCERTAINTY, OPPORTUNISM, AND GOVERNANCE: THE EFFECTS OF VOLATILITY AND AMBIGUITY ON FORMAL AND RELATIONAL CONTRACTING","Stephen J. Carson, Anoop Madhok, Tao Wu",Theme 3: Interorganizational relationships,In buyer-supplier relationships with high volatility,relying on formal contracting,increases supplier opportunism
hald2009.md,Towards an understanding of attraction in buyer–supplier relationships,"Kim Sundtoft Hald, Carlos Cordón, Thomas E. Vollmann",Theme 3: Interorganizational relationships,In buyer-supplier dyads,"enhancing perceived expected value, trust, and dependence",leads to enhanced relationship performance and joint improvement efforts
hald2009.md,Towards an understanding of attraction in buyer–supplier relationships,"Kim Sundtoft Hald, Carlos Cordón, Thomas E. Vollmann",Theme 3: Interorganizational relationships,When trust is high,increasing interdependence through transaction-specific investments,strengthens mutual attraction and supports long-term cooperation
hald2009.md,Towards an understanding of attraction in buyer–supplier relationships,"Kim Sundtoft Hald, Carlos Cordón, Thomas E. Vollmann",Theme 3: Interorganizational relationships,When dependence is high but trust is low,failing to build trust while increasing dependence,decreases attraction and leads to disengagement or exit from the relationship
hald2009.md,Towards an understanding of attraction in buyer–supplier relationships,"Kim Sundtoft Hald, Carlos Cordón, Thomas E. Vollmann",Theme 6: Operational practices of managing external resources,In the context of managing buyer–supplier relationships,"using joint mechanisms such as investment, adaptation, communication, and institutionalization",improves coordination and enhances mutual attraction
whipple2000.md,Strategic Alliance Success Factors,"Judith M. Whipple, Robert Frankel",Theme 3: Interorganizational relationships,In buyer-supplier strategic alliances,building trust,leads to enhanced performance and long-term alliance success
whipple2000.md,Strategic Alliance Success Factors,"Judith M. Whipple, Robert Frankel",Theme 3: Interorganizational relationships,In buyer-supplier strategic alliances,maintaining senior management support,supports effective decision-making and sustains alliance development
whipple2000.md,Strategic Alliance Success Factors,"Judith M. Whipple, Robert Frankel",Theme 6: Operational practices of managing external resources,In long-term buyer-supplier alliances,establishing clear goals,improves goal achievement and coordination between partners
whipple2000.md,Strategic Alliance Success Factors,"Judith M. Whipple, Robert Frankel",Theme 3: Interorganizational relationships,In strategic alliances with interdependence between partners,ensuring partner compatibility,reduces conflicts and enhances cooperation in day-to-day and strategic activities
whipple2000.md,Strategic Alliance Success Factors,"Judith M. Whipple, Robert Frankel",Theme 6: Operational practices of managing external resources,In mature buyer-supplier alliances,implementing joint performance evaluation,decreases performance gaps and improves mutual satisfaction
wu2009.md,Supplier–supplier relationships in buyer–supplier–supplier triads: Implications for supplier performance,"Zhaohui Wu, Thomas Y. Choi, M. Johnny Rungtusanatham",Theme 3: Interorganizational relationships,In buyer-supplier-supplier triads,exerting buyer influence on supplier-supplier co-opetition,leads to more intense supplier-supplier co-opetition
wu2009.md,Supplier–supplier relationships in buyer–supplier–supplier triads: Implications for supplier performance,"Zhaohui Wu, Thomas Y. Choi, M. Johnny Rungtusanatham",Theme 6: Operational practices of managing external resources,In the context of high supplier-supplier co-opetition,mandating cooperative behavior between competing suppliers,decreases supplier performance
mishra2008.md,In union lies strength: Collaborative competence in new product development and its performance effects,"Anant A. Mishra, Rachna Shah",Theme 6: Operational practices of managing external resources,In new product development projects,"involving suppliers, customers, and cross-functional teams simultaneously",leads to enhanced project performance
mishra2008.md,In union lies strength: Collaborative competence in new product development and its performance effects,"Anant A. Mishra, Rachna Shah",Theme 3: Interorganizational relationships,In the context of inter- and intra-organizational collaboration in NPD,developing collaborative competence,improves project performance which in turn leads to better market performance
primo2001.md,An exploratory study of the effects of supplier relationships on new product development outcomes,"Marcos A.M. Primo, Susan D. Amundson",Theme 3: Interorganizational relationships,In buyer-supplier relationships during new product development,increasing supplier involvement,leads to improved product quality
primo2001.md,An exploratory study of the effects of supplier relationships on new product development outcomes,"Marcos A.M. Primo, Susan D. Amundson",Theme 6: Operational practices of managing external resources,In the context of high technical difficulty of NPD projects,emphasizing supplier quality control,decreases delays caused by uncooperative supplier behavior
primo2001.md,An exploratory study of the effects of supplier relationships on new product development outcomes,"Marcos A.M. Primo, Susan D. Amundson",Theme 1: Decisions on governance mode and mechanism,When technical difficulty is high in NPD projects,moderating the reliance on supplier quality control for involvement decisions,supports faster development in breakthrough projects
beverland2005.md,Adapting within relationships to adapt to market-led change: Does relationship success lead to marketplace inertia?,Michael Beverland,Theme 3: Interorganizational relationships,In the context of market maturity and high relational commitment,complementing strong relational ties with weak market-based ties,leads to enhanced marketplace adaptability and reduces the risk of strategic inertia
beverland2005.md,Adapting within relationships to adapt to market-led change: Does relationship success lead to marketplace inertia?,Michael Beverland,Theme 2: Network formation and relationship initiation,In highly uncertain and dynamic market environments,adopting an entrepreneurial approach to relationship formation,improves market navigation and supports early-stage market adaptation
beverland2005.md,Adapting within relationships to adapt to market-led change: Does relationship success lead to marketplace inertia?,Michael Beverland,Theme 1: Decisions on governance mode and mechanism,In the context of evolving market dynamism and shifting buyer power,fitting relational strategies to environmental demands,leads to sustained competitive positioning and avoids misalignment between network and marketplace
lundberg2012.md,"Cooperation among companies, universities and local government in a Swedish context","Heléne Lundberg, Edith Andresen",Theme 5: Open innovation and interorganizational learning,"In the context of cross-sector collaboration between companies, universities, and local government",involving diverse actor categories in joint R&D initiatives,leads to enhanced innovation potential and regional development
lundberg2012.md,"Cooperation among companies, universities and local government in a Swedish context","Heléne Lundberg, Edith Andresen",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships involving public and private sector actors,employing independent cooperation facilitators,improves information flow and enables joint project initiation
lundberg2012.md,"Cooperation among companies, universities and local government in a Swedish context","Heléne Lundberg, Edith Andresen",Theme 2: Network formation and relationship initiation,In the context of high cultural distance between academic and commercial organizations,building shared norms and values through repeated interaction,supports sustained cooperation and reduces opportunism
lundberg2012.md,"Cooperation among companies, universities and local government in a Swedish context","Heléne Lundberg, Edith Andresen",Theme 4: Strategic aspects of exploiting external resources,In the context of limited internal R&D capacity in firms,forming strategic alliances with universities and government,decreases costs and expands the scope of feasible innovation projects
smith1997.md,Selling Alliances,J. Brock Smith,Theme 3: Interorganizational relationships,In selling partner relationships between sales representatives,emphasizing open communication,leads to enhanced relationship performance
smith1997.md,Selling Alliances,J. Brock Smith,Theme 3: Interorganizational relationships,In the context of high interdependence between partner sales representatives,building trust,leads to higher levels of cooperation and performance
smith1997.md,Selling Alliances,J. Brock Smith,Theme 3: Interorganizational relationships,In dyadic selling alliances with complementary capabilities,increasing perceived interdependence,improves task performance and partner satisfaction
li2009.md,Formal control and social control in domestic and international buyer–supplier relationships,"Yuan Li, En Xie, Hock-Hai Teo, Mike W. Peng",Theme 1: Decisions on governance mode and mechanism,In domestic buyer-supplier relationships in China,increasing the length of cooperation,leads to increased use of formal control mechanisms
li2009.md,Formal control and social control in domestic and international buyer–supplier relationships,"Yuan Li, En Xie, Hock-Hai Teo, Mike W. Peng",Theme 1: Decisions on governance mode and mechanism,In international buyer-supplier relationships in China,maintaining a long history of cooperation,results in no significant change in the use of formal control mechanisms
li2009.md,Formal control and social control in domestic and international buyer–supplier relationships,"Yuan Li, En Xie, Hock-Hai Teo, Mike W. Peng",Theme 3: Interorganizational relationships,In both domestic and international buyer-supplier relationships,institutionalizing interfirm norms and values,increases the adoption of both formal and social control mechanisms
li2009.md,Formal control and social control in domestic and international buyer–supplier relationships,"Yuan Li, En Xie, Hock-Hai Teo, Mike W. Peng",Theme 3: Interorganizational relationships,In domestic buyer-supplier relationships in China,using both formal and social control mechanisms,"leads to diminished cooperation performance, indicating substitutability"
li2009.md,Formal control and social control in domestic and international buyer–supplier relationships,"Yuan Li, En Xie, Hock-Hai Teo, Mike W. Peng",Theme 3: Interorganizational relationships,In international buyer-supplier relationships in China,combining formal and social control mechanisms,results in neither complementary nor substitutive effects on cooperation performance
McEvily-BridgingTiesSource-1999.md,Bridging Ties: A Source of Firm Heterogeneity in Competitive Capabilities,"Bill McEvily, Akbar Zaheer",Theme 5: Open innovation and interorganizational learning,In geographical clusters,maintaining advice networks rich in nonredundant ties,leads to enhanced acquisition of competitive capabilities
McEvily-BridgingTiesSource-1999.md,Bridging Ties: A Source of Firm Heterogeneity in Competitive Capabilities,"Bill McEvily, Akbar Zaheer",Theme 6: Operational practices of managing external resources,In the context of regional institutions providing collective support services,participating in regional institutions,leads to enhanced acquisition of competitive capabilities
McEvily-BridgingTiesSource-1999.md,Bridging Ties: A Source of Firm Heterogeneity in Competitive Capabilities,"Bill McEvily, Akbar Zaheer",Theme 3: Interorganizational relationships,In firms with advice networks rich in bridging ties,avoiding participation in regional institutions,decreases participation in regional institutions
brennan1999.md,Adaptive Behavior in Buyer–Supplier Relationships,"Ross Brennan, Peter W. Turnbull",Theme 3: Interorganizational relationships,In buyer–supplier relationships characterized by high trust and low antagonism,engaging in mutual adaptive behavior,leads to enhanced trust and cooperation
brennan1999.md,Adaptive Behavior in Buyer–Supplier Relationships,"Ross Brennan, Peter W. Turnbull",Theme 3: Interorganizational relationships,In the presence of entrenched mistrust and operational-level antagonism,withholding adaptive behavior,results in missed opportunities for mutual benefit
brennan1999.md,Adaptive Behavior in Buyer–Supplier Relationships,"Ross Brennan, Peter W. Turnbull",Theme 6: Operational practices of managing external resources,When supplier firms adopt a partnering or relationship marketing orientation,emphasizing long-term relationship development,leads to substantial supplier-side adaptations
brennan1999.md,Adaptive Behavior in Buyer–Supplier Relationships,"Ross Brennan, Peter W. Turnbull",Theme 1: Decisions on governance mode and mechanism,In buyer–supplier relationships where power is asymmetrically held by the buyer,exercising buyer power over suppliers,leads to higher levels of supplier adaptations
brennan1999.md,Adaptive Behavior in Buyer–Supplier Relationships,"Ross Brennan, Peter W. Turnbull",Theme 6: Operational practices of managing external resources,Over the course of long-standing buyer–supplier relationships,making a sequence of incremental operational decisions,leads to deep relationship-specific adaptation without explicit strategic intent
whipple2010.md,A buyer's perspective on collaborative versus transactional relationships,"Judith M. Whipple, Daniel F. Lynch, Gilbert N. Nyaga",Theme 3: Interorganizational relationships,In buyer-supplier relationships,choosing collaborative relationships over transactional ones,leads to higher satisfaction and performance
whipple2010.md,A buyer's perspective on collaborative versus transactional relationships,"Judith M. Whipple, Daniel F. Lynch, Gilbert N. Nyaga",Theme 3: Interorganizational relationships,In both collaborative and transactional buyer-supplier relationships,building trust,leads to improved performance and satisfaction with the relationship
whipple2010.md,A buyer's perspective on collaborative versus transactional relationships,"Judith M. Whipple, Daniel F. Lynch, Gilbert N. Nyaga",Theme 6: Operational practices of managing external resources,In collaborative buyer-supplier relationships,increasing communication,leads to enhanced performance and satisfaction
whipple2010.md,A buyer's perspective on collaborative versus transactional relationships,"Judith M. Whipple, Daniel F. Lynch, Gilbert N. Nyaga",Theme 6: Operational practices of managing external resources,In transactional buyer-supplier relationships,involving suppliers in joint planning and decision-making,leads to greater satisfaction with results
whipple2010.md,A buyer's perspective on collaborative versus transactional relationships,"Judith M. Whipple, Daniel F. Lynch, Gilbert N. Nyaga",Theme 1: Decisions on governance mode and mechanism,When evaluating dedicated investments in transactional relationships,avoiding dedicated investments,prevents dissatisfaction due to unrecouped costs
lai2007.md,The effects of influence strategies on dealer satisfaction and performance in Taiwan's motor industry,Chi-Shiun Lai,Theme 3: Interorganizational relationships,In buyer-supplier relationships in a collectivistic context,using hard coercive strategies,leads to lower economic and social satisfaction
lai2007.md,The effects of influence strategies on dealer satisfaction and performance in Taiwan's motor industry,Chi-Shiun Lai,Theme 3: Interorganizational relationships,In buyer-supplier relationships in a collectivistic context,using promise strategies,increases economic satisfaction but does not significantly affect social satisfaction
lai2007.md,The effects of influence strategies on dealer satisfaction and performance in Taiwan's motor industry,Chi-Shiun Lai,Theme 3: Interorganizational relationships,In buyer-supplier relationships in a collectivistic context,using perception altered strategies,leads to higher economic and social satisfaction
lai2007.md,The effects of influence strategies on dealer satisfaction and performance in Taiwan's motor industry,Chi-Shiun Lai,Theme 6: Operational practices of managing external resources,In the context of channel management,enhancing dealer satisfaction,"leads to better dealer performance, with social satisfaction having a stronger impact than economic satisfaction"
das2005.md,Supplier integration—Finding an optimal configuration,"Ajay Das, Ram Narasimhan, Srinivas Talluri",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships,choosing an optimal configuration of supplier integration practices,leads to enhanced performance
das2005.md,Supplier integration—Finding an optimal configuration,"Ajay Das, Ram Narasimhan, Srinivas Talluri",Theme 3: Interorganizational relationships,In the context of high interdependence and uncertainty,involving suppliers in joint problem solving and strategic councils,improves delivery reliability and reduces new product introduction time
das2005.md,Supplier integration—Finding an optimal configuration,"Ajay Das, Ram Narasimhan, Srinivas Talluri",Theme 6: Operational practices of managing external resources,When internal purchasing-manufacturing integration is weak,increasing cross-functional involvement in goal setting and strategy meetings,enhances quality performance and manufacturing efficiency
das2005.md,Supplier integration—Finding an optimal configuration,"Ajay Das, Ram Narasimhan, Srinivas Talluri",Theme 4: Strategic aspects of exploiting external resources,In the presence of asset-specific investments and long-term supplier relationships,investing in supplier development and certification,decreases manufacturing costs and improves delivery performance
das2005.md,Supplier integration—Finding an optimal configuration,"Ajay Das, Ram Narasimhan, Srinivas Talluri",Theme 5: Open innovation and interorganizational learning,During new product development processes,establishing direct communications between buyer and supplier production schedulers,reduces manufacturing cycle time and accelerates time-to-market
tracey2004.md,A Holistic Approach to New Product Development: New Insights,Michael Tracey,Theme 6: Operational practices of managing external resources,In new product development (NPD),"involving manufacturing, purchasing, and logistics personnel early",leads to enhanced manufacturing efficiency
tracey2004.md,A Holistic Approach to New Product Development: New Insights,Michael Tracey,Theme 6: Operational practices of managing external resources,In new product development (NPD),involving suppliers in the NPD process,increases manufacturing agility and delivery service
tracey2004.md,A Holistic Approach to New Product Development: New Insights,Michael Tracey,Theme 6: Operational practices of managing external resources,In new product development (NPD),involving customers from the early stages,improves manufacturing agility and organizational performance
tracey2004.md,A Holistic Approach to New Product Development: New Insights,Michael Tracey,Theme 3: Interorganizational relationships,In buyer-supplier relationships during product development,choosing to include supplier representatives on design teams,enhances delivery service and overall organizational performance
feng2012.md,Customer orientation for decreasing time-to-market of new products: IT implementation as a complementary asset,"Taiwen Feng, Linyan Sun, Chunyan Zhu, Amrik S. Sohal",Theme 6: Operational practices of managing external resources,In new product development,emphasizing customer focus,leads to decreased time-to-market
feng2012.md,Customer orientation for decreasing time-to-market of new products: IT implementation as a complementary asset,"Taiwen Feng, Linyan Sun, Chunyan Zhu, Amrik S. Sohal",Theme 6: Operational practices of managing external resources,In buyer-supplier relationships involving high customer interaction,involving customers in product design and development,leads to decreased time-to-market
feng2012.md,Customer orientation for decreasing time-to-market of new products: IT implementation as a complementary asset,"Taiwen Feng, Linyan Sun, Chunyan Zhu, Amrik S. Sohal",Theme 6: Operational practices of managing external resources,In the context of frequent customer communication,communicating frequently and accurately with customers,leads to decreased time-to-market
feng2012.md,Customer orientation for decreasing time-to-market of new products: IT implementation as a complementary asset,"Taiwen Feng, Linyan Sun, Chunyan Zhu, Amrik S. Sohal",Theme 4: Strategic aspects of exploiting external resources,When firms implement customer involvement in NPD,using advanced IT systems for electronic communication and transactions,further decreases time-to-market
feng2012.md,Customer orientation for decreasing time-to-market of new products: IT implementation as a complementary asset,"Taiwen Feng, Linyan Sun, Chunyan Zhu, Amrik S. Sohal",Theme 4: Strategic aspects of exploiting external resources,When firms maintain regular communication with customers,using IT systems to support information exchange,further decreases time-to-market
