paper_title,pred_context,pred_interv,pred_outcome,gold_count,label,reason,model
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,"In NPD projects where suppliers are uncooperative, give the project low priority, or cause delays.",Depending on those critical but obstructive suppliers,increases project development time and reduces the likelihood of meeting time-to-market objectives,1,FP,"The intervention is not a management action but rather a description of supplier behavior, which contradicts the paper's focus on supplier involvement as a controllable factor.",DeepSeek-V3.2
BRIDGING TIES: A SOURCE OF FIRM HETEROGENEITY IN COMPETITIVE CAPABILITIES,In a geographical cluster where firms are concerned about the leakage of proprietary information through quasi-public regional institutions.,Maintaining an advice network characterized by high nonredundancy,decreases the firm's participation in regional institutions.,1,FP,"The extracted CIMO contradicts the paper's findings, which suggest that maintaining bridging ties supports firm capabilities through access to new information, rather than decreasing participation in regional institutions.",DeepSeek-V3.2
BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,In a firm with an adhocracy culture characterized by flexibility and innovation,linking management incentives to alliance outcomes,encourages greater sharing of information on the alliance process,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on alliance management capability and its drivers, not on management incentives and information sharing in adhocracy cultures.",DeepSeek-V3.2
BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCI,When a buyer is relatively more dependent on a supplier and seeks to secure stability in an uncertain and dynamic supply market.,Attempting to integrate the supplier more formally through strategic partnerships and information sharing,"does not lead to increased levels of supplier integration, contrary to the buyer's intention.",1,FP,"The extracted CIMO contradicts the paper's findings, which state that buyer dependency did not lead to increased supplier integration.",DeepSeek-V3.2
CO-EVOLUTION OF TRUST AND DEPENDENCE IN CUSTOMER–SUPPLIER RELATIONSHIPS,When a customer decreases its purchasing volumes from a supplier,Reducing the frequency and volume of transactions,attenuates the supplier's trust in the customer and creates an imbalance between trust and interdependence,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on the co-evolution of trust and dependence in customer-supplier relationships, not on the impact of reducing transaction frequency and volume on trust.",DeepSeek-V3.2
CREATING MAJOR INNOVATIONS WITH CUSTOMERS: INSIGHTS FROM SMALL AND YOUNG TECHNOL,In the context of small and young firms new to developing major innovations,"leveraging learning agility characterized by cognitive, structural, and relational flexibility",improves the chances of MI success,1,FP,The extracted CIMO mentions 'leveraging learning agility' which is not supported by the paper excerpt.,DeepSeek-V3.2
DEVELOPMENT AND VALIDATION OF A MEASUREMENT INSTRUMENT FOR STUDYING SUPPLY CHAIN,In the context of managing relationships with customers to improve satisfaction and sustain loyalty.,"Practicing customer relationship management by interacting with customers to set standards, measuring satisfaction, and determining future expectations.",increases delivery dependability and reduces the time required to bring new products to market.,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on developing a measurement instrument for SCM practices rather than customer relationship management's impact on delivery dependability and product development time.",DeepSeek-V3.2
DOES ADAPTATION PAY OFF ?,In a supply network where a powerful multinational buyer expresses a strong wish for suppliers to improve quality calibration.,Collectively establishing a common calibration laboratory with other suppliers,decreases the suppliers' dependence on the focal buyer and saves time and money for all parties.,1,FP,"The extracted CIMO is not supported by the paper excerpt, which discusses adaptation in buyer-supplier relationships but does not mention establishing a common calibration laboratory.",DeepSeek-V3.2
DOES ADAPTATION PAY OFF ?,In a situation where individual small suppliers struggle to meet high-quality standards while keeping costs down.,Cooperating with competitors by jointly financing and using a common calibration laboratory,enables consistent production quality and provides access to calibration services that would be otherwise unaffordable.,1,FP,"The extracted CIMO describes a specific intervention (cooperating with competitors by jointly financing a calibration laboratory) that is not mentioned or supported in the paper excerpt, which focuses on adaptation in buyer-supplier relationships rather than supplier cooperation.",DeepSeek-V3.2
DOES ADAPTATION PAY OFF ?,When a buyer encourages suppliers to calibrate equipment but does not provide the service itself.,Proactively initiating a joint calibration project through a local business association,results in a win-win situation where both buyer and suppliers save resources and improve product quality.,1,FP,"The extracted CIMO is not supported by the paper excerpt, which discusses adaptation in buyer-supplier relationships but doesn't mention calibration projects or local business associations.",DeepSeek-V3.2
ENTERPRISE LOGISTICS AND SUPPLY CHAIN STRUCTURE: THE ROLE OF FIT,"In a supply chain organized as a network structure (characterized by strong, cooperative supplier-customer links but low vertical integration)",adopting enterprise logistics practices,leads to lower service and financial performance,2,FP,The extracted CIMO contradicts the paper's findings which indicate that enterprise logistics integration does not guarantee improved performance for pure network structures.,DeepSeek-V3.2
EXERCISED POWER AS A DRIVER OF TRUST AND COMMITMENT IN CROSS-BORDER INDUSTRIAL B,"In cross-border industrial buyer-seller relationships characterized by disagreements, tension, and frustration",Experiencing high levels of conflict,negatively affects trust between the interacting parties,1,FP,"The intervention 'Experiencing high levels of conflict' is not a management action but rather a condition or state, which violates the requirement for a clear management action in CIMO extraction.",DeepSeek-V3.2
EXERCISED POWER AS A DRIVER OF TRUST AND COMMITMENT IN CROSS-BORDER INDUSTRIAL B,In cross-border industrial buyer-seller relationships where past interactions are evaluated,Achieving satisfaction from the relationship (positive affective state from met expectations),positively affects trust in the relationship,1,FP,"The intervention is not a management action but rather an outcome (satisfaction), and the relationship described contradicts the paper's findings that satisfaction enhances trust but is not directly achieved through power.",DeepSeek-V3.2
LEADERSHIP AND RELATIONSHIP COMMITMENT: A FOCUS ON THE SUPPLIER–BUYER–USER LINKA,"In the dyadic relationship between corporate buyers and internal SBU users, where the prevailing attitude is to satisfy user needs transactionally",Focusing on short-term transactional exchanges to satisfy user needs,fails to build the long-term relational commitment that corporate buyers seek,1,FP,"The extracted CIMO contradicts the paper's findings, which show that transactional leadership (not transformational) is associated with limited relationship commitment.",DeepSeek-V3.2
MANAGING THE BUYER-SUPPLIER INTERFACE FOR ON-TIME PERFORMANCE IN PRODUCT DEVELOP,During a product development project involving a supplier,Increasing the frequency of phone calls with the supplier,is associated with fewer of the supplier's activities being completed on time,1,FP,"The intervention 'increasing the frequency of phone calls with the supplier' is not supported by the paper, which found that 'greater buyer-supplier communication were not confirmed' as an effective technique.",DeepSeek-V3.2
MANAGING THE BUYER-SUPPLIER INTERFACE FOR ON-TIME PERFORMANCE IN PRODUCT DEVELOP,When developing a new product relative to a firm's previous models,Increasing the degree of technical change of the overall product,increases delays to the buyer's project overall,1,FP,"The extracted CIMO is not supported by the paper excerpt; the paper discusses technical capabilities reducing delays, not increasing technical change causing delays.",DeepSeek-V3.2
RELATIONSHIP MARKETING AND SUPPLIER LOGISTICS PERFORMANCE: AN EXTENSION OF THE K,In a buyer-supplier relationship where the buyer faces an unpredictable task environment and lacks adequate information for decision-making.,The buyer operating under conditions of high decision-making uncertainty regarding product needs and inventory levels.,"leads to a significant decrease in supplier logistics performance, hampering fill rates and on-time deliveries.",1,FP,"The intervention is not a management action but a condition (decision-making uncertainty), and the C-I-O relationship is not clearly supported by the paper excerpt.",DeepSeek-V3.2
SOCIAL CAPITAL IN THE GROWTH OF SCIENCE-AND-TECHNOLOGY-BASED SMES,When an SME needs to raise capital during the innovation assessment or offering development phase.,"Leveraging the founders' strong industry position, integrity, and track record to convince potential investors.","facilitates the acquisition of venture capital and financial resources from foundations, private investors, and governmental agencies.",1,FP,"The extracted CIMO focuses on leveraging founders' personal attributes to acquire capital, while the paper discusses social capital and networks in SME growth phases, not specifically founder attributes for investor persuasion.",DeepSeek-V3.2
SOCIAL CAPITAL IN THE GROWTH OF SCIENCE-AND-TECHNOLOGY-BASED SMES,When a growing SME needs to establish a new distribution network of small local agents or entrepreneurs to enter a new business field.,Searching for and evaluating agent candidates by employing the existing social networks of the company's personnel.,helps the firm find the best agent candidates and build a crucial new distribution channel for its business model.,1,FP,"The extracted CIMO is not supported by the paper excerpt as it focuses on establishing distribution networks through social networks, while the paper discusses social capital in SME growth phases and network mobilization capability more broadly.",DeepSeek-V3.2
SOCIAL EXCHANGE IN SUPPLY CHAIN RELATIONSHIPS: THE RESULTING BENEFITS OF PROCEDU,"When a distributor develops a long-term orientation toward its supplier, expecting the relationship to continue.",Maintaining a long-term orientation and working to preserve the mutually beneficial relationship.,decreases the distributor's conflict with the supplier.,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on procedural and distributive justice as interventions rather than maintaining long-term orientation.",DeepSeek-V3.2
SOCIAL EXCHANGE IN SUPPLY CHAIN RELATIONSHIPS: THE RESULTING BENEFITS OF PROCEDU,"When a distributor is satisfied with its supply chain partner, having similar subjective beliefs and perceptions.",Being satisfied with the partner and the relationship's outcomes.,decreases the distributor's conflict with the supplier.,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on procedural and distributive justice as interventions, not satisfaction with the partner.",DeepSeek-V3.2
SOCIAL EXCHANGE IN SUPPLY CHAIN RELATIONSHIPS: THE RESULTING BENEFITS OF PROCEDU,When conflict exists in a supply chain relationship due to diversion of goal attainment.,Experiencing conflict with the supply chain partner over business issues.,decreases the distributor's performance relative to industry peers.,1,FP,"The intervention is not a management action but a condition (experiencing conflict), and the C-I-O relationship contradicts the paper's findings that justice policies decrease conflict and improve performance.",DeepSeek-V3.2
SUPPLIER DEVELOPMENT: CURRENT PRACTICES AND OUTCOMES,When a buying firm seeks to motivate a supplier's performance without committing its own resources.,Using enforced competition by sourcing from two or more suppliers for the same purchased item.,fosters supplier performance improvements through market pressure but involves no direct commitment from the buyer.,1,FP,"The extracted CIMO focuses on enforced competition as an intervention, which is not the main focus of the paper on supplier development activities.",DeepSeek-V3.2
SUPPLIER EVALUATIONS: COMMUNICATION STRATEGIES TO IMPROVE SUPPLIER PERFORMANCE,When the supplier is committed to the buying firm.,The supplier feeling a strong sense of loyalty and obligation to the buying firm,"improves the supplier's operational performance (quality, delivery, price, etc.)",1,FP,"The intervention is not a management action but rather a supplier's internal state (feeling loyalty), which contradicts the paper's focus on buyer firm communication strategies as interventions.",DeepSeek-V3.2
SUPPLIER INTEGRATION—FINDING AN OPTIMAL CONFIGURATION,In buyer-supplier relationships where firms seek to reduce transaction costs and protect specific assets under conditions of uncertainty,Employing hybrid governance mechanisms through relational supplier integration practices,lowers transaction costs and leads to improved manufacturing and firm performance,1,FP,"The extracted CIMO mentions hybrid governance mechanisms and reducing transaction costs, which are not explicitly supported by the paper excerpt.",DeepSeek-V3.2
"THE DRIVERS OF CUSTOMER ATTRACTIVENESS, SUPPLIER SATISFACTION AND PREFERRED CUST",For a buying firm operating in global sourcing and attempting to access suppliers in a foreign industry cluster,Achieving geographical proximity to the supplier or obtaining cluster membership,facilitates attaining preferred customer status compared to foreign firms,1,FP,The extracted CIMO's context about global sourcing and foreign industry clusters is not supported by the paper excerpt.,DeepSeek-V3.2
THE EFFECTS OF INFLUENCE STRATEGIES ON DEALER SATISFACTION AND PERFORMANCE IN TA,When a dealer in Taiwan's motor industry is economically satisfied with the supplier relationship.,The dealer being economically satisfied (positive affective response to financial rewards and relationship productivity).,leads to better financial performance for the dealer.,1,FP,The intervention is not a management action but rather a condition (economic satisfaction).,DeepSeek-V3.2
THE EFFECTS OF PARTNER AND RELATIONSHIP CHARACTERISTICS ON ALLIANCE OUTCOMES,In the context of an equity-based alliance structure,combining shared equity governance with a high degree of shared decision making,produces a stronger positive effect on alliance performance,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on partner characteristics and relationship factors affecting alliance outcomes, not equity-based alliance structures.",DeepSeek-V3.2
"THE IMPACT OF COERCIVE AND NON-COERCIVE FORMS OF INFLUENCE ON TRUST, COMMITMENT,",In interdependent supply chain relationships where joint action is required,Relying on overt influence strategies to affect behavioral change,fails to directly increase actual compliance with specific adoption requests,1,FP,"The extracted CIMO contradicts the paper's findings which show that non-coercive influence strategies increase trust, commitment, and joint action, while coercive strategies are counterproductive.",DeepSeek-V3.2
"THE IMPACT OF COERCIVE AND NON-COERCIVE FORMS OF INFLUENCE ON TRUST, COMMITMENT,",In a supply chain relationship characterized by trust,Building and maintaining high levels of partner trust,increases both intentions to cooperate and actual compliance with requests,1,FP,"The extracted CIMO's intervention is 'Building and maintaining high levels of partner trust' which is not a management action but rather a relational outcome, contradicting the paper's focus on influence strategies as interventions.",DeepSeek-V3.2
THE IMPLICATIONS OF SOCIALIZATION AND INTEGRATION IN SUPPLY CHAIN MANAGEMENT,In buyer-supplier relationships where firms aim to create a seamless supply chain,"Increasing the level of supply chain integration in operations planning, forecasting, and scheduling",enhances the supplier's communication performance,2,FP,"The intervention in the extracted CIMO is 'Increasing the level of supply chain integration in operations planning, forecasting, and scheduling', which is not mentioned in the paper excerpt. The paper focuses on socialization as a tactic for influencing, not supply chain integration in operations planning.",DeepSeek-V3.2
THE IMPLICATIONS OF SOCIALIZATION AND INTEGRATION IN SUPPLY CHAIN MANAGEMENT,In a buyer-supplier relationship where the supplier demonstrates improved performance,"The supplier achieving higher operational performance in cost, delivery, and quality",increases the buyer's perceived level of the supplier's contractual conformance,2,FP,"The intervention is not a management action but rather a performance outcome, which contradicts the paper's focus on socialization and integration as interventions.",DeepSeek-V3.2
THE RELATIONSHIP BETWEEN EDI AND SUPPLIER RELIABILITY,In an EDI-enabled trading relationship where the buyer shares demand forecasts,sharing inaccurate demand forecasts with the supplier,is associated with lower supplier reliability,1,FP,"The extracted CIMO contradicts the paper's findings, which show that EDI improves supplier reliability when properly implemented, not that sharing inaccurate forecasts reduces reliability.",DeepSeek-V3.2
TOWARDS AN UNDERSTANDING OF ATTRACTION IN BUYER–SUPPLIER RELATIONSHIPS,When a firm aims to align internal perceptions about the importance of supply chain relationships.,Institutionalizing a top management vision and company culture that values supplier or customer relationships,helps align conflicting perceptions across different functions and actors within the firm.,2,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on attraction in buyer-supplier relationships rather than internal alignment of perceptions within a firm.",DeepSeek-V3.2
USING INFLUENCE STRATEGIES TO ADVANCE SUPPLIER DELIVERY FLEXIBILITY: THE MODERAT,In a buyer-supplier relationship where the manufacturer has a high level of trust in the supplier.,Using a promise strategy (offering specific rewards for compliance).,leads to increased supplier delivery flexibility.,1,FP,The extracted CIMO contradicts the paper's finding that promise strategy depresses supplier delivery flexibility under high trust.,DeepSeek-V3.2
USING INFLUENCE STRATEGIES TO ADVANCE SUPPLIER DELIVERY FLEXIBILITY: THE MODERAT,In a buyer-supplier relationship where the manufacturer has a high level of trust in the supplier.,Using a recommendation strategy (stressing that compliance will make the supplier more profitable).,decreases supplier delivery flexibility.,1,FP,"The extracted CIMO contradicts the paper's findings which state that recommendation strategy increases supplier delivery flexibility under high shared vision, not decreases it.",DeepSeek-V3.2
USING INFLUENCE STRATEGIES TO ADVANCE SUPPLIER DELIVERY FLEXIBILITY: THE MODERAT,In a buyer-supplier relationship where the manufacturer has a high level of trust in the supplier.,Using an information exchange strategy (supplying general business issues to alter the supplier's perspective).,decreases supplier delivery flexibility.,1,FP,"The extracted CIMO contradicts the paper's findings which state that information exchange strategy has a negative effect on delivery flexibility when trust is high, not that it decreases supplier delivery flexibility in general.",DeepSeek-V3.2
''BLACK-BOX'' AND ''GRAY-BOX'' SUPPLIER INTEGRATION IN PRODUCT DEVELOPMENT: ANTE,In buyer-supplier relationships with high asset specificity and behavioral uncertainty,embedding with suppliers,leads to supply base rationalization,1,FP,"The extracted CIMO's context (buyer-supplier relationships with high asset specificity and behavioral uncertainty) is not mentioned in the paper, and the intervention (embedding with suppliers) is presented as an antecedent rather than a direct intervention leading to the outcome.",LLama3.3-70B
A COMPARATIVE LONGITUDINAL ANALYSIS OF THEORETICAL PERSPECTIVES OF INTERORGANIZA,In interorganizational relationships,engaging in opportunistic behaviors,negatively affects interfirm performance,1,FP,"The extracted CIMO contradicts the paper's findings which show that commitment-trust and relationship-specific investments improve performance, not opportunistic behaviors.",LLama3.3-70B
A SUPPLIER DEVELOPMENT PROGRAM: RATIONAL PROCESS OR INSTITUTIONAL IMAGE CONSTRUC,In the context of high supplier dependence on the customer,Conducting supplier development workshops,Results in the recording of solutions to problems that the workshop was not responsible for,1,FP,The outcome 'results in the recording of solutions to problems that the workshop was not responsible for' is not supported by the paper excerpt.,LLama3.3-70B
A SUPPLIER DEVELOPMENT PROGRAM: RATIONAL PROCESS OR INSTITUTIONAL IMAGE CONSTRUC,In the context of supplier evaluation and selection,Using a proprietary manufacturing effectiveness index (MEI) to evaluate suppliers,Leads to improved supplier performance,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on supplier development programs and institutional theory, not on using a proprietary manufacturing effectiveness index (MEI) to evaluate suppliers.",LLama3.3-70B
A SUPPLIER DEVELOPMENT PROGRAM: RATIONAL PROCESS OR INSTITUTIONAL IMAGE CONSTRUC,In the context of institutionalized practices in supply chain management,Maintaining an image of successfully developing suppliers,Results in the final reported effect of the workshops being better than predicted,1,FP,"The extracted CIMO's intervention is not a clear management action but rather a condition or image maintenance, and the outcome is not explicitly supported by the paper excerpt.",LLama3.3-70B
A TALE OF TWO PARTNERSHIPS: SOCIALIZATION IN THE DEVELOPMENT OF BUYER–SUPPLIER R,In IT services industry with frequent personnel changes and required IT modifications,establishing a business balanced scorecard and joint account management sessions,contributes to more open and adequate communication,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on socialization tactics in buyer-supplier relationships, not business balanced scorecards or joint account management sessions.",LLama3.3-70B
ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,High asset specificity and behavioral uncertainty,Implementing partnership sourcing strategies,Leads to enhanced performance,1,FP,"The extracted CIMO's context (high asset specificity and behavioral uncertainty) is not mentioned in the paper excerpt, and the intervention (implementing partnership sourcing strategies) is discussed but not directly linked to the outcome (enhanced performance) as stated in the reference CIMO.",LLama3.3-70B
ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,Low trust and high antagonism in buyer-supplier relationships,Withholding important cost information,Prevents adaptations from taking place,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on adaptive behavior in buyer-supplier relationships and its relationship with trust and commitment, not on withholding information preventing adaptations.",LLama3.3-70B
ADAPTIVE BEHAVIOR IN BUYER–SUPPLIER RELATIONSHIPS,Asymmetric power balance in buyer-supplier relationships,Coercing suppliers into adaptations,Suppliers become substantially adapted to the buyer's needs,1,FP,"The intervention 'Coercing suppliers into adaptations' is not supported by the paper excerpt, which discusses adaptive behavior in buyer-supplier relationships without mentioning coercion.",LLama3.3-70B
"ALLIANCE CAPABILITY, STOCK MARKET RESPONSE, AND LONG-TERM ALLIANCE SUCCESS: THE ",In the context of firms with multiple alliances,Establishing a dedicated alliance function,Increases the likelihood of setting up a dedicated alliance function and achieving higher alliance success,1,FP,The extracted CIMO incorrectly states the outcome as 'increases the likelihood of setting up a dedicated alliance function' which is circular and contradicts the paper's findings that firms with the alliance function achieve greater success.,LLama3.3-70B
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,In buyer-supplier relationships with high asset specificity,implementing supplier quality control systems,reduces supplier obstructionism,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on supplier involvement in new product development, not supplier quality control systems in buyer-supplier relationships with high asset specificity.",LLama3.3-70B
AN EXPLORATORY STUDY OF THE EFFECTS OF SUPPLIER RELATIONSHIPS ON NEW PRODUCT DEV,In the context of supplier partnerships,establishing long-term relationships with suppliers,leads to better product quality and reduced costs,1,FP,"The extracted CIMO mentions 'supplier partnerships' and 'long-term relationships' which are not the focus of the paper, which is about 'supplier involvement' in new product development.",LLama3.3-70B
ARCS OF INTEGRATION: AN INTERNATIONAL STUDY OF SUPPLY CHAIN STRATEGIES,Inward-facing supply chain strategy,Failing to integrate with suppliers and customers,hurts performance,1,FP,The extracted CIMO incorrectly frames the intervention as 'failing to integrate' rather than 'integrating with suppliers and customers' as supported by the paper.,LLama3.3-70B
ARCS OF INTEGRATION: AN INTERNATIONAL STUDY OF SUPPLY CHAIN STRATEGIES,Supplier- and customer-facing supply chain strategies,Focusing on only one side of the supply chain,has fewer advantages over inward-facing strategy,1,FP,"The extracted CIMO contradicts the paper's findings which show that integrating with both suppliers and customers has the strongest association with performance improvement, not focusing on only one side.",LLama3.3-70B
ARCS OF INTEGRATION: AN INTERNATIONAL STUDY OF SUPPLY CHAIN STRATEGIES,Emergence of new technologies such as the Internet,Utilizing internet-based supply chain management tools,enhances competitiveness,1,FP,The extracted CIMO mentions internet-based tools which are not discussed in the paper excerpt.,LLama3.3-70B
BRIDGING TIES: A SOURCE OF FIRM HETEROGENEITY IN COMPETITIVE CAPABILITIES,In industries with low switching costs and lack of customer loyalty,Engaging in competitive scanning,Improves firm competitiveness,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on bridging ties and network resources in geographical clusters, not competitive scanning in industries with low switching costs.",LLama3.3-70B
BUILDING CAPABILITIES TO MANAGE STRATEGIC ALLIANCES,In the context of top management team support,Providing financial incentives for alliance management,Fully mediates the effect on alliance performance,1,FP,"The extracted CIMO is not supported by the paper excerpt as it mentions financial incentives for alliance management, which is not discussed in the paper.",LLama3.3-70B
BUYER DEPENDENCY AND RELATIONAL CAPITAL FORMATION: THE MEDIATING EFFECTS OF SOCI,When buyers are less dependent on suppliers,restricting the application of power in relationships,leads to improved relational capital,1,FP,"The extracted CIMO contradicts the paper's findings, which show that buyer dependency leads to socialization processes to generate relational capital, not restricting power.",LLama3.3-70B
CO-EVOLUTION OF TRUST AND DEPENDENCE IN CUSTOMER–SUPPLIER RELATIONSHIPS,When a customer decreases its purchases from a supplier,reducing the level of interfirm trust and dependence,attenuates the supplier's trust to the customer,1,FP,"The extracted CIMO contradicts the paper's focus on how trust and dependence co-evolve positively in relationships, not how reducing trust attenuates it.",LLama3.3-70B
CREATING MAJOR INNOVATIONS WITH CUSTOMERS: INSIGHTS FROM SMALL AND YOUNG TECHNOL,In the context of new product development for major innovations,generating customer-based funding through early sales,increases the likelihood of successful major innovation,1,FP,The intervention 'generating customer-based funding through early sales' is not mentioned or supported in the paper excerpt.,LLama3.3-70B
DECOMPOSING INFLUENCE STRATEGIES: ARGUMENT STRUCTURE AND DEPENDENCE AS DETERMINA,In channel relationships with high dependence,using Threats influence strategy,increases compliance,1,FP,"The extracted CIMO incorrectly identifies 'Threats influence strategy' as the intervention, while the paper states that coercive strategies like Threats are only effective when target dependence is high, not as a general strategy.",LLama3.3-70B
DO FORMAL CONTRACTS AND RELATIONAL GOVERNANCE FUNCTION AS SUBSTITUTES OR COMPLEM,Presence of relational governance,Creating complex contracts,Enhances relational governance,2,FP,"The extracted CIMO incorrectly suggests creating complex contracts enhances relational governance, while the paper argues they function as complements, not that one enhances the other.",LLama3.3-70B
DOES ADAPTATION PAY OFF?,In a buyer-supplier relationship with high asset specificity,investing in relationship-specific assets,leads to increased dependence on the buyer,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on adaptation in buyer-supplier relationships and its effects on quality and market position, not on asset specificity and dependence.",LLama3.3-70B
DOES ADAPTATION PAY OFF?,In a supply network with multiple suppliers and a focal buyer,establishing a common calibration laboratory,saves time and money for all parties involved,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on adaptation in buyer-supplier relationships rather than establishing calibration laboratories.",LLama3.3-70B
DOES ADAPTATION PAY OFF?,When a buyer expresses a wish for suppliers to calibrate their measuring equipment,collectively adapting to the buyer's wishes,decreases the suppliers' dependence on the buyer,1,FP,"The extracted CIMO contradicts the paper, which states that adaptation can increase dependence on the buyer, not decrease it.",LLama3.3-70B
DOES ADAPTATION PAY OFF?,When suppliers have limited resources and face high quality demands,cooperating with other suppliers to establish a calibration laboratory,enables the suppliers to improve their quality and reduce costs,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on adaptation in buyer-supplier relationships rather than supplier cooperation to establish calibration laboratories.",LLama3.3-70B
EXERCISED POWER AS A DRIVER OF TRUST AND COMMITMENT IN CROSS-BORDER INDUSTRIAL B,In international business relationships,managing conflict effectively,enhances trust and commitment,1,FP,The extracted CIMO is not supported by the paper excerpt as it misrepresents the relationship between conflict and trust/commitment.,LLama3.3-70B
EXERCISED POWER AS A DRIVER OF TRUST AND COMMITMENT IN CROSS-BORDER INDUSTRIAL B,In cross-border industrial buyer–seller relationships,fostering satisfaction,leads to increased trust and commitment,1,FP,"The intervention 'fostering satisfaction' is not supported as a direct action in the paper; instead, satisfaction is presented as an outcome of non-coercive power, not an intervention.",LLama3.3-70B
EXERCISED POWER AS A DRIVER OF TRUST AND COMMITMENT IN CROSS-BORDER INDUSTRIAL B,In international business relationships,building trust,leads to increased commitment and loyalty,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on power sources (coercive and non-coercive) affecting trust and commitment through conflict and mediation, not on building trust directly leading to commitment and loyalty.",LLama3.3-70B
EXPERIENCE EFFECTS AND COLLABORATIVE RETURNS IN R&D ALLIANCES,In the context of R&D alliances with multiple partners and complex activities,Employing a piecewise approach to measure the effect of prior experience,"Reveals that the existence, rather than extent, of prior experience affects collaborative benefits",1,FP,"The extracted CIMO introduces a 'piecewise approach' not mentioned in the paper, and the outcome about 'existence rather than extent' contradicts the paper's finding of diminishing returns from extensive experience.",LLama3.3-70B
IN UNION LIES STRENGTH: COLLABORATIVE COMPETENCE IN NEW PRODUCT DEVELOPMENT AND ,In the context of product development projects,achieving superior project performance,leads to superior market performance,2,FP,"The intervention 'achieving superior project performance' is not a management action but rather an outcome itself, making it incoherent as an intervention.",LLama3.3-70B
"MAKE, BUY, OR ALLY: A TRANSACTION COST THEORY META-ANALYSIS",In buyer-supplier relationships with high volume uncertainty,adopting hierarchical governance,increases the likelihood of hierarchical governance,2,FP,The outcome 'increases the likelihood of hierarchical governance' is circular and contradicts the paper's findings that hierarchical governance is chosen as a response to transaction conditions.,LLama3.3-70B
MANAGING THE BUYER-SUPPLIER INTERFACE FOR ON-TIME PERFORMANCE IN PRODUCT DEVELOP,In product development projects with frequent changes,using face-to-face communication with suppliers,facilitates coordination of activities and reduces delays,1,FP,"The extracted CIMO mentions 'face-to-face communication with suppliers' which is not supported by the paper, as the study found that 'greater buyer-supplier communication' benefits were not confirmed.",LLama3.3-70B
MANAGING THE BUYER-SUPPLIER INTERFACE FOR ON-TIME PERFORMANCE IN PRODUCT DEVELOP,In the context of supplier-related delays,increasing the frequency of phone calls with suppliers,decreases the percentage of supplier's activities completed on time,1,FP,"The extracted CIMO is not supported by the paper excerpt, which found that increasing communication with suppliers did not reduce delays.",LLama3.3-70B
OUTSOURCING AS SEEN FROM THE PERSPECTIVE OF KNOWLEDGE MANAGEMENT,In the context of high asset specificity and behavioral uncertainty,choosing hierarchical governance,leads to enhanced performance,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on knowledge management in outsourcing rather than hierarchical governance.",LLama3.3-70B
OUTSOURCING AS SEEN FROM THE PERSPECTIVE OF KNOWLEDGE MANAGEMENT,In buyer-supplier relationships,involving suppliers in the NPD project,increases innovation,1,FP,"The extracted CIMO is not supported by the paper excerpt which focuses on outsourcing knowledge management, not supplier involvement in NPD projects.",LLama3.3-70B
OUTSOURCING AS SEEN FROM THE PERSPECTIVE OF KNOWLEDGE MANAGEMENT,When knowledge is tacit,performing potentially outsourceable activities in-house,reduces costs,1,FP,"The extracted CIMO is not supported by the paper excerpt, which focuses on knowledge characteristics affecting outsourcing benefits, not on performing activities in-house to reduce costs.",LLama3.3-70B
RELATION-SPECIFIC CAPABILITIES AND BARRIERS TO KNOWLEDGE TRANSFERS: CREATING ADV,In the automotive industry with complex production networks,implementing just-in-time delivery systems with suppliers,increases supplier productivity,1,FP,The intervention 'implementing just-in-time delivery systems' is not mentioned or supported in the paper excerpt.,LLama3.3-70B
